id,keyword,volume,position,estimated_visits,cpc,paid_difficulty,seo_difficulty,ranking_url,city,state,country,region,url_location,area,category,business_category,product_category,source,url_keyword,unknown_col,remaining_url_keywords,priority
1,restaurants near me,16600000,4,7569600,$0.16,6,49,https://www.zomato.com/restaurants-near-me,,,,,,,Restaurant,Food & Dining,Food & Dining,zomato.com,me,,,1
2,fb,16600000,16,71380,$0.01,1,75,https://www.zomato.com/chennai/fb-cakes-ramapuram,Chennai,,,,Chennai,,,,,zomato.com,fb,,cakes ramapuram,1
3,hotels near me,9140000,57,23310,$0.17,16,76,https://www.zomato.com/mumbai/krishna-hotel-near-andheri-east-station,Mumbai,,,,Mumbai,Andheri,Hotel,Accommodation,Accommodation,zomato.com,,,krishna station,1
4,yt,9140000,12,125430,$0.01,1,60,https://www.zomato.com/kolkata/yt-restaurant-dum-dum,Kolkata,,,,Kolkata,,Restaurant,Food & Dining,Food & Dining,zomato.com,yt,,dum dum,1
5,restaurants,11100000,4,2778560,$0.29,2,61,https://www.zomato.com/bangalore/restaurants,Bengaluru,,,,Bengaluru,,Restaurant,Food & Dining,Food & Dining,zomato.com,,,bangalore,1
6,restaurant,11100000,10,308932,$0.22,1,53,https://www.zomato.com/mumbai/restaurants,Mumbai,,,,Mumbai,,Restaurant,Food & Dining,Food & Dining,zomato.com,,,,1
7,desi tales,2740000,4,180566,$0,1,28,https://www.zomato.com/amritsar/desi-tales-1-gndu-area/menu,Amritsar,,,,Amritsar,,,,,zomato.com,desi tales,,gndu area menu,1
8,temp,2240000,9,41100,$0.43,1,60,https://www.zomato.com/chennai/temp-fried-chicken-nungambakkam,Chennai,,,,Chennai,,,,,zomato.com,temp,,fried chicken nungambakkam,1
9,mcdonald's,2740000,14,41100,$0.19,5,62,https://www.zomato.com/bangalore/mcdonalds-bannerghatta-road-bangalore,Bengaluru,,,,Bengaluru,,,,,zomato.com,,,bangalore mcdonalds bannerghatta road bangalore,1
10,wine shop near me,2740000,11,70144,$0,1,34,https://www.zomato.com/kolkata/restaurants/dish-wine,Kolkata,,,,Kolkata,,Restaurant,Food & Dining,Food & Dining,zomato.com,wine,,dish,1
11,kfc,2240000,13,57344,$0.17,4,62,https://www.zomato.com/ncr/restaurants/kfc?category=1,,,,,,,Restaurant,Food & Dining,Food & Dining,zomato.com,kfc,,ncr,1
12,cafe near me,2240000,4,680960,$0.13,11,60,https://www.zomato.com/cafes-near-me,,,,,,,Restaurant,Food & Dining,Food & Dining,zomato.com,me,,,1
13,cafes near me,2240000,4,680960,$0.21,12,46,https://www.zomato.com/cafes-near-me,,,,,,,Restaurant,Food & Dining,Food & Dining,zomato.com,me,,,1
14,zomato,1830000,1,556320,$0.05,5,78,https://www.zomato.com/,,,,,,,,,,zomato.com,,,,1
15,hd hub,1830000,6,61854,$0.45,1,47,https://www.zomato.com/jaipur/hd-hub-mansarovar/menu,Jaipur,,,,Jaipur,,,,,zomato.com,hd hub,,mansarovar menu,1
16,majestic,1500000,23,7869,$0,4,62,https://www.zomato.com/bangalore/majestic-restaurants,Bengaluru,,,,Bengaluru,,Restaurant,Food & Dining,Food & Dining,zomato.com,majestic,,bangalore,1
17,starbucks,1220000,16,13650,$0.98,4,62,https://www.zomato.com/mumbai/starbucks-coffee-chowpatty/order,Mumbai,,,,Mumbai,,,,,zomato.com,starbucks,,coffee chowpatty order,1
18,coffee shops near me,823000,4,456000,$0.33,2,22,https://www.zomato.com/cafes-near-me,,,,,,,Restaurant,Food & Dining,Food & Dining,zomato.com,me,,,1
19,bar near me,1000000,4,370880,$0.20,6,44,https://www.zomato.com/bars-near-me,,,,,,,Restaurant,Food & Dining,Food & Dining,zomato.com,me,,,1
20,burger king,1000000,12,31232,$0.25,2,48,https://www.zomato.com/mumbai/restaurants/burger-king,Mumbai,,,,Mumbai,,Restaurant,Food & Dining,Food & Dining,zomato.com,burger king,,,1
21,bars near me,1000000,4,370880,$0.16,6,44,https://www.zomato.com/bars-near-me,,,,,,,Restaurant,Food & Dining,Food & Dining,zomato.com,me,,,1
22,south india chennai,823000,70,2100,$0.48,1,36,https://www.zomato.com/chennai/restaurants/south-indian,Chennai,,,,Chennai,,Restaurant,Food & Dining,Food & Dining,zomato.com,,,indian,1
23,indira nagar,823000,7,65900,$0.47,8,50,https://www.zomato.com/bangalore/indiranagar-restaurants,Bengaluru,,,,Bengaluru,Indiranagar,Restaurant,Food & Dining,Food & Dining,zomato.com,,,bangalore,1
24,indian kolkata,1000000,17,11300,$0.25,1,46,https://www.zomato.com/kolkata/restaurants/north-indian,Kolkata,,,,Kolkata,,Restaurant,Food & Dining,Food & Dining,zomato.com,indian,,,1
25,old delhi junction,1220000,24,3300,$0,3,43,https://www.zomato.com/ncr/restaurants/near/old-delhi-railway-station,Delhi,Delhi,India,North,Delhi,Old Delhi,Restaurant,Food & Dining,Food & Dining,zomato.com,,,ncr railway station,1
26,indira nagar in bangalore,823000,16,9100,$0.31,7,37,https://www.zomato.com/bangalore/indiranagar-restaurants,Bengaluru,,,,Bengaluru,Indiranagar,Restaurant,Food & Dining,Food & Dining,zomato.com,bangalore,,,1
27,que,1000000,12,11300,$0.19,1,34,https://www.zomato.com/lucknow/que-1-gomti-nagar,Lucknow,,,,Lucknow,,,,,zomato.com,que,,gomti nagar,1
28,dominos,1000000,10,25600,$0.16,4,62,https://www.zomato.com/ncr/dominos-pizza-3-rohini-new-delhi,New Delhi,Delhi,India,North,New Delhi,Rohini,,,,zomato.com,dominos,,ncr pizza,1
29,delhi old delhi railway station,1000000,35,2100,$0.08,2,24,https://www.zomato.com/ncr/restaurants/near/old-delhi-railway-station,Delhi,Delhi,India,North,Delhi,Old Delhi,Restaurant,Food & Dining,Food & Dining,zomato.com,railway station,,ncr,1
30,connaught place,823000,81,2100,$0.93,5,49,https://www.zomato.com/ncr/dum-safar-biryani-1-connaught-place-new-delhi/info,New Delhi,Delhi,India,North,New Delhi,Connaught Place,,,,zomato.com,,,ncr dum safar biryani info,1
31,connaught in delhi,1000000,19,5900,$0.31,3,45,https://www.zomato.com/ncr/connaught-club-house-connaught-place-new-delhi,New Delhi,Delhi,India,North,New Delhi,Connaught Place,,,,zomato.com,,,ncr club house,1
32,veg cafe near me,1000000,4,304000,$0.23,10,32,https://www.zomato.com/hyderabad/vegetarian-restaurants,Hyderabad,,,,Hyderabad,,Restaurant,Food & Dining,Food & Dining,zomato.com,,,vegetarian,1
33,mcdonald's nearest to me,1000000,9,46900,$0.03,4,46,https://www.zomato.com/ncr/restoranlar/mcdonalds?zone=2&category=2,,,,,,,,,,zomato.com,,,ncr restoranlar mcdonalds,1
34,secunderabad jn,1000000,67,2100,$0.10,4,32,https://www.zomato.com/order-food-online-in-train,,,,,,,Restaurant,Food & Dining,Food & Dining,zomato.com,,,order online train,1
35,near me mcdonald,1000000,6,97300,$0.03,3,29,https://www.zomato.com/bangalore/restaurants/mcdonalds?landmark_id=781&category=2,Bengaluru,,,,Bengaluru,,Restaurant,Food & Dining,Food & Dining,zomato.com,,,bangalore mcdonalds,1
36,near me mcd,4400,8,46900,$0.05,4,38,https://www.zomato.com/ncr/restaurants/mcdonalds?subzone=264&category=2,,,,,,,Restaurant,Food & Dining,Food & Dining,zomato.com,,,ncr mcdonalds,1
37,terminal 2 airport mumbai,1000000,22,3300,$0.09,6,30,https://www.zomato.com/mumbai/restaurants/in/chhatrapati-shivaji-airport-terminal-2,Mumbai,,,,Mumbai,,Restaurant,Food & Dining,Food & Dining,zomato.com,terminal airport,,chhatrapati shivaji,1
38,connaught place new delhi india,1000000,15,15000,$0.31,3,33,https://www.zomato.com/ncr/connaught-place-delhi-restaurants,Delhi,Delhi,India,North,Delhi,Connaught Place,Restaurant,Food & Dining,Food & Dining,zomato.com,,,ncr,1
39,connaught place in delhi,1000000,17,5900,$0.31,3,27,https://www.zomato.com/ncr/connaught-place-delhi-restaurants,Delhi,Delhi,India,North,Delhi,Connaught Place,Restaurant,Food & Dining,Food & Dining,zomato.com,,,ncr,1
40,railway station in old delhi,1220000,47,2100,$0.07,3,19,https://www.zomato.com/ncr/restaurants/near/old-delhi-railway-station,Delhi,Delhi,India,North,Delhi,Old Delhi,Restaurant,Food & Dining,Food & Dining,zomato.com,railway station,,ncr,1
41,old delhi railway station delhi,1000000,39,2100,$0.08,2,24,https://www.zomato.com/ncr/restaurants/near/old-delhi-railway-station,Delhi,Delhi,India,North,Delhi,Old Delhi,Restaurant,Food & Dining,Food & Dining,zomato.com,railway station,,ncr,1
42,veg restaurants near me,1000000,5,162000,$0.17,8,57,https://www.zomato.com/hyderabad/vegetarian-restaurants,Hyderabad,,,,Hyderabad,,Restaurant,Food & Dining,Food & Dining,zomato.com,,,vegetarian,1
43,restaurants near me with vegetarian,1000000,5,304000,$0.04,12,23,https://www.zomato.com/restaurants-near-me,,,,,,,Restaurant,Food & Dining,Food & Dining,zomato.com,me,,,1
44,t's bar and grill,1000000,5,46900,$0.05,1,23,https://www.zomato.com/hyderabad/t-grill-financial-district,Hyderabad,,,,Hyderabad,,,,,zomato.com,grill,,financial district,1
45,coffee near me,1000000,5,304000,$0.32,5,44,https://www.zomato.com/cafes-near-me,,,,,,,Restaurant,Food & Dining,Food & Dining,zomato.com,me,,,1
46,vegetarian restaurants near me,1000000,7,65900,$0.20,10,38,https://www.zomato.com/chandigarh/re%C5%A1taur%C3%A1cie/in/phase-3b2-market-phase-3-mohali?veg=1&cft=2,Chandigarh,Chandigarh,India,North,Chandigarh,,,,,zomato.com,,,re taur cie phase 3b2 market phase mohali,1
47,domino's,1000000,18,5600,$0.12,3,66,https://www.zomato.com/ncr/dominos-pizza-3-rohini-new-delhi,New Delhi,Delhi,India,North,New Delhi,Rohini,,,,zomato.com,,,ncr dominos pizza,1
48,new delhi connaught place,823000,22,4300,$0.28,4,40,https://www.zomato.com/ncr/connaught-place-delhi-restaurants,Delhi,Delhi,India,North,Delhi,Connaught Place,Restaurant,Food & Dining,Food & Dining,zomato.com,,,ncr,1
49,south india bangalore,1000000,25,2700,$0.32,1,49,https://www.zomato.com/bangalore/restaurants/south-indian,Bengaluru,,,,Bengaluru,,Restaurant,Food & Dining,Food & Dining,zomato.com,bangalore,,indian,1
50,old delhi railway station,1000000,27,3300,$0.06,4,21,https://www.zomato.com/ncr/restaurants/near/old-delhi-railway-station,Delhi,Delhi,India,North,Delhi,Old Delhi,Restaurant,Food & Dining,Food & Dining,zomato.com,railway station,,ncr,1
51,near me mcdonald's,4400,10,33800,$0.05,4,52,https://www.zomato.com/mumbai/restaurants/mcdonalds?landmark_id=472&category=2,Mumbai,,,,Mumbai,,Restaurant,Food & Dining,Food & Dining,zomato.com,,,mcdonalds,1
52,shri ganesh,823000,10,19700,$0.50,1,47,https://www.zomato.com/ncr/shri-ganesh-corner-shakarpur-new-delhi,New Delhi,Delhi,India,North,New Delhi,,,,,zomato.com,shri ganesh,,ncr corner shakarpur,1
53,secunderabad jn railway station,1000000,70,2100,$0.10,4,25,https://www.zomato.com/order-food-online-in-train,,,,,,,Restaurant,Food & Dining,Food & Dining,zomato.com,,,order online train,1
54,connaught delhi,1000000,18,5546,$0.53,4,49,https://www.zomato.com/ncr/connaught-club-house-connaught-place-new-delhi,New Delhi,Delhi,India,North,New Delhi,Connaught Place,,,,zomato.com,,,ncr club house,1
55,bangalore south india,1000000,65,2100,$0.32,1,50,https://www.zomato.com/bangalore/restaurants/dish-south-indian-breakfast,Bengaluru,,,,Bengaluru,,Restaurant,Food & Dining,Food & Dining,zomato.com,bangalore,,dish indian breakfast,1
56,bangalore and bengaluru,1000000,34,2100,$0.13,1,43,https://www.zomato.com/bangalore/restaurants,Bengaluru,,,,Bengaluru,,Restaurant,Food & Dining,Food & Dining,zomato.com,bangalore,,,1
57,old delhi junction railway station,1220000,33,2100,$0,3,35,https://www.zomato.com/ncr/restaurants/near/old-delhi-railway-station,Delhi,Delhi,India,North,Delhi,Old Delhi,Restaurant,Food & Dining,Food & Dining,zomato.com,railway station,,ncr,1
58,meerut,823000,27,2700,$0.28,1,61,https://www.zomato.com/meerut,Meerut,,,,Meerut,,,,,zomato.com,,,,1
59,old railway station delhi,1000000,26,3300,$0.06,4,22,https://www.zomato.com/ncr/restaurants/near/old-delhi-railway-station,Delhi,Delhi,India,North,Delhi,Old Delhi,Restaurant,Food & Dining,Food & Dining,zomato.com,railway station,,ncr,1
60,mcdonald's near me,1000000,6,97300,$0.14,2,43,https://www.zomato.com/ncr/restoranlar/mcdonalds?zone=2&category=2,,,,,,,,,,zomato.com,,,ncr restoranlar mcdonalds,1
61,indiranagar,823000,4,162000,$0.31,7,63,https://www.zomato.com/bangalore/indiranagar-restaurants,Bengaluru,,,,Bengaluru,Indiranagar,Restaurant,Food & Dining,Food & Dining,zomato.com,,,bangalore,1
62,connaught place new delhi delhi india,823000,34,2100,$0.33,4,20,https://www.zomato.com/ncr/local-connaught-place-new-delhi,New Delhi,Delhi,India,North,New Delhi,Connaught Place,,,,zomato.com,,,ncr local,1
63,wine shop,1000000,31,2100,$0.83,1,47,https://www.zomato.com/kolkata/restaurants/dish-wine,Kolkata,,,,Kolkata,,Restaurant,Food & Dining,Food & Dining,zomato.com,wine,,dish,1
64,vegan cafe near me,1000000,9,46900,$0.10,11,38,https://www.zomato.com/dehradun/world-vegan-day,Dehradun,,,,Dehradun,,,,,zomato.com,vegan,,world day,1
65,ambience mall,673000,21,4197,$1.07,10,51,https://www.zomato.com/ncr/restaurants/in/ambience-mall-dlf-phase-3,,,,,,,Restaurant,Food & Dining,Food & Dining,zomato.com,ambience mall,,ncr dlf phase,1
66,kfc near me,673000,11,21068,$0.09,12,46,https://www.zomato.com/hyderabad/restaurants/kfc,Hyderabad,,,,Hyderabad,,Restaurant,Food & Dining,Food & Dining,zomato.com,kfc,,,1
67,manali indian,823000,28,1892,$0.22,1,35,https://www.zomato.com/manali/restaurants/north-indian,Manali,,,,Manali,,Restaurant,Food & Dining,Food & Dining,zomato.com,indian,,,1
68,justdial,823000,21,2715,$0.50,7,63,https://www.zomato.com/contact,,,,,,,,,,zomato.com,,,contact,1
6415,job for fresher in chennai,14800,62,25,$0.08,20,28,https://careers.swiggy.com/,,,,,,,,,,careers.swiggy.com,,,,1
69,panvel,673000,29,1728,$0,5,62,https://www.zomato.com/mumbai/panvel-navi-mumbai-restaurants,Navi Mumbai,,,,Navi Mumbai,,Restaurant,Food & Dining,Food & Dining,zomato.com,panvel,,,1
70,coffee,1000000,32,1728,$0.12,17,66,https://www.zomato.com/bangalore/coffee,Bengaluru,,,,Bengaluru,,,,,zomato.com,coffee,,bangalore,1
71,kentucky fried chicken near by me,823000,11,27817,$0.08,7,29,https://www.zomato.com/ncr/restaurants/kfc?category=1,,,,,,,Restaurant,Food & Dining,Food & Dining,zomato.com,,,ncr kfc,1
72,new delhi karol bagh,823000,51,1728,$0.15,4,30,https://www.zomato.com/ncr/delia-my-bar-headquarters-karol-bagh-new-delhi,New Delhi,Delhi,India,North,New Delhi,Karol Bagh,Restaurant,Food & Dining,Food & Dining,zomato.com,,,ncr delia my headquarters,1
73,shop closest to me,823000,6,80077,$0.12,31,22,https://www.zomato.com/sweet-shops-near-me,,,,,,,,,,zomato.com,me,,sweet shops,1
74,ambience mall gurgaon,673000,6,38598,$1.07,10,46,https://www.zomato.com/ncr/restaurants/in/ambience-mall-dlf-phase-3,,,,,,,Restaurant,Food & Dining,Food & Dining,zomato.com,ambience mall,,ncr dlf phase,1
75,united fried chicken,673000,4,133326,$0.29,1,21,https://www.zomato.com/vijayawada/ufc-united-fried-chicken-mangalagiri,Vijayawada,,,,Vijayawada,,,,,zomato.com,united fried chicken,,ufc mangalagiri,1
76,chandni chowk in new delhi,823000,36,1728,$0.12,3,26,https://www.zomato.com/ncr/chandni-chowk-delhi-restaurants,Delhi,Delhi,India,North,Delhi,Chandni Chowk,Restaurant,Food & Dining,Food & Dining,zomato.com,,,ncr,1
77,near me cake shops,673000,4,204592,$0.11,38,23,https://www.zomato.com/bakeries-near-me,,,,,,,,,,zomato.com,me,,bakeries,1
78,cake store near me,673000,4,204592,$0.11,42,21,https://www.zomato.com/bakeries-near-me,,,,,,,,,,zomato.com,me,,bakeries,1
79,adyar ananda bhavan a2b,550000,6,65482,$0.21,6,33,https://www.zomato.com/chennai/a2b-adyar-ananda-bhavan-adyar,Chennai,,,,Chennai,,,,,zomato.com,adyar ananda bhavan a2b,,adyar,1
80,hebbal,673000,12,7604,$0.20,7,63,https://www.zomato.com/bangalore/hebbal-restaurants,Bengaluru,,,,Bengaluru,,Restaurant,Food & Dining,Food & Dining,zomato.com,hebbal,,bangalore,1
81,foodstuff near me,673000,6,65482,$0.10,12,21,https://www.zomato.com/patiala/order-food-online,,,,,,,Restaurant,Food & Dining,Food & Dining,zomato.com,,,patiala order online,1
82,koramangala,673000,12,10095,$0.67,6,62,https://www.zomato.com/bangalore/koramangala-restaurants/bar,Bengaluru,,,,Bengaluru,Koramangala,Restaurant,Food & Dining,Food & Dining,zomato.com,,,bangalore,1
83,cake baking shop near me,673000,5,109026,$0.10,57,60,https://www.zomato.com/bakeries-near-me,,,,,,,,,,zomato.com,me,,bakeries,1
84,bhiwandi,550000,36,1413,$0,4,62,https://www.zomato.com/mumbai/bhiwandi-restaurants,Mumbai,,,,Mumbai,,Restaurant,Food & Dining,Food & Dining,zomato.com,bhiwandi,,,1
85,dwarka,673000,105,1413,$0.12,2,61,https://www.zomato.com/ncr/delivery-in-sector-10-dwarka/dish-salad,,,,,Dwarka,Dwarka,,,,zomato.com,,,ncr delivery sector 10 dish salad,1
86,gurgaon indian,550000,11,22747,$0.14,2,22,https://www.zomato.com/ncr/gurgaon-restaurants/modern-indian,Gurugram,,,,Gurugram,,Restaurant,Food & Dining,Food & Dining,zomato.com,gurgaon indian,,ncr modern,1
87,chocolate,673000,36,1413,$0.13,66,80,https://www.zomato.com/ncr/1st-crush-chocolates-alaknanda-new-delhi/order,New Delhi,Delhi,India,North,New Delhi,,,,,zomato.com,,,ncr 1st crush chocolates alaknanda order,1
88,food near me,673000,4,204592,$0.24,9,46,https://www.zomato.com/restaurants-near-me,,,,,,,Restaurant,Food & Dining,Food & Dining,zomato.com,me,,,1
89,choc o late,673000,10,17228,$0.01,62,24,https://www.zomato.com/ncr/choko-la-sector-56-gurgaon/order,Gurugram,,,,Gurugram,,,,,zomato.com,,,ncr choko la sector 56 gurgaon order,1
90,bbq nation,673000,8,44350,$0.11,3,48,https://www.zomato.com/ncr/barbeque-nation-connaught-place-new-delhi,New Delhi,Delhi,India,North,New Delhi,Connaught Place,,,,zomato.com,nation,,ncr barbeque,1
91,barbeque nation,550000,9,31563,$0.22,2,48,https://www.zomato.com/ncr/barbeque-nation-connaught-place-new-delhi,New Delhi,Delhi,India,North,New Delhi,Connaught Place,,,,zomato.com,barbeque nation,,ncr,1
92,dominos near me,673000,12,13258,$0.15,3,43,https://www.zomato.com/ncr/restaurants/dominos?landmark_id=74&category=2,,,,,,,Restaurant,Food & Dining,Food & Dining,zomato.com,dominos,,ncr,1
93,dadar,450000,19,3970,$0,9,63,https://www.zomato.com/mumbai/dadar-west-restaurants,Mumbai,,,,Mumbai,,Restaurant,Food & Dining,Food & Dining,zomato.com,dadar,,,1
94,cake bakery shops near me,673000,4,204592,$0.10,41,20,https://www.zomato.com/bakeries-near-me,,,,,,,,,,zomato.com,me,,bakeries,1
95,lakshmi nagar delhi,550000,19,2893,$0.32,3,43,https://www.zomato.com/ncr/laxmi-nagar-delhi-restaurants,Delhi,Delhi,India,North,Delhi,,Restaurant,Food & Dining,Food & Dining,zomato.com,nagar,,ncr laxmi,1
96,bangalore koramangala,673000,16,5047,$0.18,6,33,https://www.zomato.com/bangalore/koramangala-5th-block-restaurants,Bengaluru,,,,Bengaluru,Koramangala,Restaurant,Food & Dining,Food & Dining,zomato.com,bangalore,,5th block,1
97,dhaba near me,550000,4,204592,$0.13,4,44,https://www.zomato.com/dhabas-near-me,,,,,,,,,,zomato.com,me,,dhabas,1
98,domino's pizza,1000000,12,17228,$0.18,3,48,https://www.zomato.com/ncr/dominos-pizza-3-rohini-new-delhi,New Delhi,Delhi,India,North,New Delhi,Rohini,,,,zomato.com,pizza,,ncr dominos,1
99,indian jodhpur,673000,34,1413,$0.16,1,27,https://www.zomato.com/jodhpur/restaurants/north-indian,Jodhpur,,,,Jodhpur,,Restaurant,Food & Dining,Food & Dining,zomato.com,indian,,,1
100,the belgian waffle co,301000,6,53515,$0.19,9,37,https://www.zomato.com/mumbai/the-belgian-waffle-co-mumbai-central,Mumbai,,,,Mumbai,,,,,zomato.com,belgian waffle,,,1
101,campus off,550000,27,1320,$0.16,1,30,https://www.zomato.com/ncr/off-campus-satyaniketan-new-delhi,New Delhi,Delhi,India,North,New Delhi,,,,,zomato.com,campus off,,ncr satyaniketan,1
102,bakery close to me,450000,4,167200,$0.16,8,37,https://www.zomato.com/bakeries-near-me,,,,,,,,,,zomato.com,me,,bakeries,1
103,delhi rajiv chowk,550000,28,1265,$0.12,4,20,https://www.zomato.com/ncr/restaurants/in/rajiv-chowk-metro-station,,,,,,,Restaurant,Food & Dining,Food & Dining,zomato.com,rajiv chowk,,ncr metro station,1
1705,solitaire corporate park,49500,21,163,$0.55,6,29,https://www.mappls.com/e03g7s,,,,,,,,,,mappls.com,,,e03g7s,1
104,bangalore hsr,550000,21,2365,$0.13,7,42,https://www.zomato.com/bangalore/hsr-restaurants,Bengaluru,,,,Bengaluru,,Restaurant,Food & Dining,Food & Dining,zomato.com,bangalore hsr,,,1
105,baking near me,550000,5,167200,$0.07,13,22,https://www.zomato.com/bakeries-near-me,,,,,,,,,,zomato.com,me,,bakeries,1
106,bakeries near me,550000,4,167200,$0.13,11,46,https://www.zomato.com/bakeries-near-me,,,,,,,,,,zomato.com,bakeries me,,,1
107,yelahanka,550000,24,1815,$0.20,7,63,https://www.zomato.com/bangalore/yelahanka-restaurants,Bengaluru,,,,Bengaluru,,Restaurant,Food & Dining,Food & Dining,zomato.com,yelahanka,,bangalore,1
108,vashi,450000,17,8250,$0.11,5,62,https://www.zomato.com/mumbai/vashi-restaurants,Mumbai,,,,Mumbai,,Restaurant,Food & Dining,Food & Dining,zomato.com,vashi,,,1
109,new delhi lajpat nagar,550000,53,1155,$0.16,4,22,https://www.zomato.com/ncr/best-lajpat-nagar-1-restaurants,,,,,Lajpat Nagar,Lajpat Nagar,Restaurant,Food & Dining,Food & Dining,zomato.com,,,ncr best,1
110,hsr bangalore,550000,14,5005,$0.13,9,50,https://www.zomato.com/bangalore/hsr-high-street-hsr,Bengaluru,,,,Bengaluru,,,,,zomato.com,hsr bangalore,,high street hsr,1
111,gachibowli hyd,550000,12,8250,$0.16,7,38,https://www.zomato.com/hyderabad/gachibowli-restaurants,Hyderabad,,,,Hyderabad,,Restaurant,Food & Dining,Food & Dining,zomato.com,gachibowli,,,1
112,pizza,550000,13,14080,$0.14,7,63,https://www.zomato.com/lucknow/restaurants/pizza,Lucknow,,,,Lucknow,,Restaurant,Food & Dining,Food & Dining,zomato.com,pizza,,,1
113,haldiram,550000,9,25795,$0.07,13,64,https://www.zomato.com/ncr/haldirams-connaught-place-new-delhi,New Delhi,Delhi,India,North,New Delhi,Connaught Place,,,,zomato.com,,,ncr haldirams,1
114,kukatpally,550000,10,25795,$0.24,15,65,https://www.zomato.com/hyderabad/kukatpally-restaurants,Hyderabad,,,,Hyderabad,,Restaurant,Food & Dining,Food & Dining,zomato.com,kukatpally,,,1
115,dlf mall noida,550000,9,18590,$0.21,5,44,https://www.zomato.com/ncr/restaurants/in/dlf-mall-of-india-sector-18-noida,Noida,,India,,Noida,Sector 18,Restaurant,Food & Dining,Food & Dining,zomato.com,dlf mall,,ncr,1
116,cake,550000,13,10835,$0.19,68,37,https://www.zomato.com/ncr/delivery/dish-cake,,,,,,,,,,zomato.com,cake,,ncr delivery dish,1
117,rajiv chowk in delhi,550000,39,1155,$0.12,4,28,https://www.zomato.com/ncr/restaurants/in/rajiv-chowk-metro-station,,,,,,,Restaurant,Food & Dining,Food & Dining,zomato.com,rajiv chowk,,ncr metro station,1
118,whitefield,550000,22,2365,$0.35,7,63,https://www.zomato.com/bangalore/whitefield-restaurants,Bengaluru,,,,Bengaluru,Whitefield,Restaurant,Food & Dining,Food & Dining,zomato.com,,,bangalore,1
119,20,550000,38,1155,$0.09,1,40,https://www.zomato.com/ahmedabad/one-20-mins-bopal,Ahmedabad,,,,Ahmedabad,,,,,zomato.com,20,,one mins bopal,1
120,sector 18,550000,12,8250,$0.15,5,39,https://www.zomato.com/ncr/sector-18-noida-restaurants,Noida,,,,Noida,Sector 18,Restaurant,Food & Dining,Food & Dining,zomato.com,,,ncr,1
121,gachibowli,550000,18,3245,$0.31,8,63,https://www.zomato.com/hyderabad/gachibowli-restaurants,Hyderabad,,,,Hyderabad,,Restaurant,Food & Dining,Food & Dining,zomato.com,gachibowli,,,1
122,biryani near.me,550000,4,167200,$0.09,7,20,https://www.zomato.com/biryani-restaurants-near-me,,,,,,,Restaurant,Food & Dining,Food & Dining,zomato.com,biryani me,,,1
123,biryani near me,450000,4,167200,$0.18,6,22,https://www.zomato.com/biryani-restaurants-near-me,,,,,,,Restaurant,Food & Dining,Food & Dining,zomato.com,biryani me,,,1
124,waltair visakhapatnam,550000,54,1155,$0.20,1,20,https://www.zomato.com/visakhapatnam/waltair-kitchen-pl-grand-waltair-uplands-vizag,Visakhapatnam,,,,Visakhapatnam,,,,,zomato.com,waltair,,kitchen pl grand waltair uplands vizag,1
125,panipat haryana,550000,62,1155,$0.10,1,30,https://www.zomato.com/panipat/haryana-kitchen-hub-tehsil-camp,,Haryana,India,North,,,,,,zomato.com,panipat,,kitchen hub tehsil camp,1
126,sindhi camp,550000,13,8250,$0.19,5,49,https://www.zomato.com/jaipur/sindhi-camp-restaurants,Jaipur,,,,Jaipur,,Restaurant,Food & Dining,Food & Dining,zomato.com,sindhi camp,,,1
127,rajiv chowk station,550000,18,3245,$0.29,6,44,https://www.zomato.com/ncr/restaurants/in/rajiv-chowk-metro-station,,,,,,,Restaurant,Food & Dining,Food & Dining,zomato.com,rajiv chowk station,,ncr metro,1
128,gachibowli hyderabad,550000,22,2365,$0.16,11,39,https://www.zomato.com/hyderabad/gachibowli-restaurants,Hyderabad,,,,Hyderabad,,Restaurant,Food & Dining,Food & Dining,zomato.com,gachibowli,,,1
129,third wave coffee,550000,10,25795,$0.33,6,44,https://www.zomato.com/ncr/restaurants/third-wave-coffee,,,,,,,Restaurant,Food & Dining,Food & Dining,zomato.com,third wave coffee,,ncr,1
130,z's,550000,9,14080,$0.18,1,47,https://www.zomato.com/surat/zs-restaurant-bhestan,Surat,,,,Surat,,Restaurant,Food & Dining,Food & Dining,zomato.com,,,zs bhestan,1
131,mira road,550000,30,1155,$0.19,5,49,https://www.zomato.com/mumbai/mira-road-restaurants,Mumbai,,,,Mumbai,,Restaurant,Food & Dining,Food & Dining,zomato.com,mira road,,,1
132,bakery near me,450000,4,167200,$0.15,9,45,https://www.zomato.com/bakeries-near-me,,,,,,,,,,zomato.com,me,,bakeries,1
133,whitefield whitefield,550000,19,2805,$0.14,7,22,https://www.zomato.com/bangalore/whitefield-restaurants,Bengaluru,,,,Bengaluru,Whitefield,Restaurant,Food & Dining,Food & Dining,zomato.com,,,bangalore,1
134,restaurants nearby,450000,7,53515,$0.53,5,49,https://www.zomato.com/restaurants-near-me,,,,,,,Restaurant,Food & Dining,Food & Dining,zomato.com,,,me,1
135,naturals ice cream,368000,7,53515,$0.09,5,44,https://www.zomato.com/NaturalsCP,,,,,,,,,,zomato.com,,,naturalscp,1
